time,amp,sigma,band
11.8864,2.1027,0.0049,b3
11.8908,2.1358,0.004,b3
11.8964,2.1458,0.0043,b3
11.9014,2.146,0.0043,b3
11.9067,2.1371,0.0038,b3
11.9117,2.1633,0.0039,b3
11.9156,2.1689,0.004,b3
12.3367,2.2951,0.0072,b3
12.3419,2.3096,0.0068,b3
12.3469,2.31,0.0066,b3
12.3519,2.3024,0.0064,b3
12.3569,2.3052,0.007,b3
12.3619,2.2983,0.0062,b3
12.3672,2.2935,0.0066,b3
12.3717,2.295,0.0074,b3
12.3772,2.2857,0.0073,b3
12.3822,2.2705,0.007,b3
12.3867,2.2504,0.0047,b3
12.3922,2.2491,0.0057,b3
12.3975,2.2623,0.0063,b3
12.4019,2.2513,0.0064,b3
12.4069,2.2413,0.0061,b3
12.4119,2.2318,0.0058,b3
12.4175,2.2377,0.0068,b3
12.4228,2.2329,0.0061,b3
12.4272,2.2395,0.0069,b3
12.4328,2.2,0.0059,b3
12.4378,2.1953,0.0063,b3
12.4428,2.2052,0.0064,b3
12.4469,2.1999,0.0066,b3
12.4531,2.1853,0.0054,b3
12.4581,2.2005,0.0063,b3
12.4631,2.1674,0.0073,b3
12.4681,2.1912,0.006,b3
12.62,2.2631,0.0064,b3
12.6253,2.2005,0.0057,b3
12.6303,2.2586,0.0047,b3
12.6342,2.2804,0.005,b3
12.6403,2.2808,0.0051,b3
12.6453,2.2562,0.007,b3
12.6506,2.2061,0.0082,b3
12.655,2.2656,0.0072,b3
12.6606,2.1696,0.0093,b3
12.6656,2.2072,0.0099,b3
12.67,2.1817,0.0093,b3
12.675,2.2577,0.0052,b3
12.6803,2.2571,0.0052,b3
12.6858,2.2154,0.0052,b3
12.6908,2.2359,0.0059,b3
12.6958,2.2485,0.0052,b3
12.7008,2.2401,0.0048,b3
12.7061,2.2194,0.0064,b3
12.7111,2.1538,0.0085,b3
12.7161,2.1736,0.0079,b3
12.7211,2.144,0.0085,b3
12.7256,2.158,0.0095,b3
12.7314,2.1397,0.0064,b3
12.7364,2.17,0.0066,b3
12.7414,2.21,0.0057,b3
12.7464,2.2103,0.0068,b3
12.7514,2.1881,0.0065,b3
12.7567,2.1484,0.0068,b3
12.7617,2.1814,0.0061,b3
12.7667,2.1945,0.006,b3
